iteration,class,top,left,bottom,right,center_x,center_y
77,mario,101.1,166.23,116.19,181.73,173.98,108.645
77,box,226.38,144.09,242.09,159.06,151.575,234.235
78,box,225.36,144.08,241.04,159.1,151.59,233.2
78,mario,102.1,167.25,117.16,182.69,174.97,109.63
79,box,224.46,144.09,239.98,159.05,151.57,232.22
79,mario,102.99,168.17,118.18,183.74,175.95499999999998,110.58500000000001
80,box,223.47,144.09,239.08,159.06,151.575,231.275
80,mario,104.21,169.28,119.12,184.63,176.95499999999998,111.66499999999999
81,box,222.39,144.11,238.02,158.99,151.55,230.20499999999998
81,mario,104.2,172.25,119.07,187.63,179.94,111.63499999999999
82,box,221.37,144.09,236.98,159.06,151.575,229.175
82,mario,105.1,174.23,120.16,189.68,181.95499999999998,112.63
83,box,221.19,143.99,236.12,159.01,151.5,228.655
83,mario,106.1,177.2,121.21,192.56,184.88,113.655
84,mario,107.24,181.28,121.97,196.55,188.91500000000002,114.60499999999999
84,box,220.31,143.99,235.05,158.95,151.47,227.68
85,box,219.19,143.98,234.02,159.02,151.5,226.60500000000002
85,mario,107.27,186.38,122.36,201.57,193.975,114.815
86,box,218.1,144.01,233.12,159.01,151.51,225.61
86,mario,108.19,191.13,123.1,206.5,198.815,115.645
87,box,217.31,144.0,232.07,158.97,151.485,224.69
87,mario,111.53,193.45,122.81,207.64,200.545,117.17
88,box,216.09,143.98,231.03,159.02,151.5,223.56
88,mario,110.37,192.3,123.72,207.36,199.83,117.045
89,box,214.38,144.09,230.06,159.05,151.57,222.22
89,mario,110.4,192.3,123.73,207.5,199.9,117.065
90,box,213.35,144.1,229.02,159.05,151.575,221.185
90,mario,113.18,192.44,124.83,206.88,199.66,119.005
91,box,212.39,144.08,228.03,159.1,151.59,220.20999999999998
91,mario,114.53,193.47,125.82,207.29,200.38,120.175
92,box,210.33,144.1,226.07,159.07,151.58499999999998,218.2
92,mario,112.24,192.29,125.62,207.14,199.71499999999997,118.93
93,box,208.47,144.09,224.01,159.05,151.57,216.24
93,mario,114.38,192.24,125.65,206.96,199.60000000000002,120.015
94,mario,114.51,192.25,125.7,207.19,199.72,120.105
94,box,206.39,144.1,222.03,158.99,151.54500000000002,214.20999999999998
95,box,204.42,144.09,220.1,159.06,151.575,212.26
95,mario,112.32,186.77,126.72,202.85,194.81,119.52
96,box,202.4,144.08,218.01,159.08,151.58,210.20499999999998
96,mario,112.25,180.9,126.65,196.73,188.815,119.45
97,mario,112.01,175.76,126.67,191.8,183.78,119.34
97,box,200.65,144.05,215.95,159.07,151.56,208.3
98,box,199.64,144.03,215.01,159.14,151.58499999999998,207.325
98,mario,111.76,171.7,126.7,187.78,179.74,119.23
99,box,197.55,144.05,212.98,159.09,151.57,205.265
99,mario,111.69,167.86,126.61,183.74,175.8,119.15
100,mario,111.62,165.69,126.73,181.8,173.745,119.17500000000001
100,box,194.49,144.04,210.06,159.09,151.565,202.275
101,box,192.64,144.03,207.95,159.08,151.555,200.295
101,mario,111.74,164.01,126.58,179.77,171.89,119.16
102,mario,111.73,162.84,126.69,178.81,170.825,119.21000000000001
102,box,189.55,144.03,204.96,159.09,151.56,197.255
103,mario,111.78,162.87,126.69,178.81,170.84,119.235
103,box,187.6,144.05,202.94,159.05,151.55,195.26999999999998
104,box,184.64,144.06,199.94,159.07,151.565,192.29
104,mario,111.98,164.1,126.58,179.75,171.925,119.28
105,box,182.53,144.04,198.01,159.08,151.56,190.26999999999998
105,mario,112.03,164.97,126.65,180.72,172.845,119.34
105,box,246.38,144.34,256.0,159.03,151.685,251.19
106,box,180.52,144.03,196.03,159.14,151.58499999999998,188.275
106,mario,112.08,168.02,126.62,183.72,175.87,119.35
106,box,244.59,144.33,256.0,158.93,151.63,250.29500000000002
107,box,177.5,144.04,193.01,159.13,151.58499999999998,185.255
107,mario,112.12,170.97,126.67,186.78,178.875,119.39500000000001
107,box,241.62,144.3,256.0,158.99,151.645,248.81
108,mario,112.25,174.96,126.74,190.67,182.815,119.495
108,box,174.5,144.06,189.98,159.03,151.54500000000002,182.24
108,box,238.57,144.32,256.0,159.0,151.66,247.285
109,box,172.47,144.04,188.04,159.09,151.565,180.255
109,mario,112.3,180.22,126.57,195.48,187.85,119.435
109,box,236.38,144.27,255.96,159.0,151.635,246.17000000000002
110,box,169.5,144.04,185.03,159.08,151.56,177.265
110,mario,112.29,185.17,125.32,199.96,192.565,118.805
110,box,233.26,144.22,256.0,159.04,151.63,244.63
111,box,166.53,144.03,181.96,159.08,151.555,174.245
111,mario,112.06,190.25,125.28,205.72,197.985,118.67
111,box,230.42,144.13,256.0,159.05,151.59,243.20999999999998
111,goomba,253.34,192.09,255.85,207.34,199.715,254.595
112,box,163.58,144.03,178.98,159.07,151.55,171.28
112,box,227.52,144.09,255.93,159.11,151.60000000000002,241.72500000000002
112,mario,114.62,192.43,125.72,206.96,199.695,120.17
112,goomba,249.26,191.99,256.0,208.96,200.47500000000002,252.63
113,box,160.64,144.03,175.94,159.09,151.56,168.29
113,box,224.93,144.1,256.0,159.06,151.57999999999998,240.465
113,mario,114.37,191.94,126.43,206.98,199.45999999999998,120.4
113,goomba,244.89,192.76,256.0,208.87,200.815,250.445
114,box,222.92,144.04,254.85,159.13,151.58499999999998,238.885
114,box,158.56,144.06,173.97,159.04,151.55,166.265
114,goomba,243.13,192.62,256.0,208.62,200.62,249.565
114,mario,114.1,192.07,125.98,206.82,199.445,120.03999999999999
115,box,219.72,144.04,256.0,159.16,151.6,237.86
115,box,155.61,144.06,170.93,159.06,151.56,163.27
115,goomba,239.12,192.69,254.01,208.57,200.63,246.565
115,mario,114.49,192.53,125.76,206.68,199.60500000000002,120.125
115,box,251.83,80.1,256.0,94.91,87.505,253.91500000000002
116,box,153.52,144.04,168.99,159.09,151.565,161.255
116,goomba,236.14,192.7,250.99,208.2,200.45,243.565
116,box,217.64,144.04,255.86,159.04,151.54,236.75
116,mario,114.5,192.66,125.69,206.57,199.615,120.095
116,box,249.98,80.0,256.0,95.1,87.55,252.99
117,box,152.62,144.06,167.94,159.08,151.57,160.28
117,box,216.49,144.01,256.0,159.07,151.54,236.245
117,goomba,235.09,192.7,249.91,208.2,200.45,242.5
117,mario,115.08,193.67,125.17,207.07,200.37,120.125
117,box,249.08,79.98,256.0,95.11,87.545,252.54000000000002
118,box,214.41,144.05,256.0,159.11,151.58,235.20499999999998
118,box,150.49,144.04,165.99,159.08,151.56,158.24
118,goomba,232.02,192.69,246.98,208.13,200.41,239.5
118,mario,113.28,188.05,126.55,203.23,195.64,119.91499999999999
118,box,247.0,80.04,255.95,95.03,87.535,251.475
119,box,148.51,144.03,164.01,159.16,151.595,156.26
119,goomba,230.19,192.65,244.96,208.02,200.335,237.575
119,box,212.77,144.02,256.0,159.05,151.53500000000003,234.385
119,mario,112.52,183.19,126.62,198.41,190.8,119.57
119,box,244.89,80.03,255.92,95.02,87.525,250.40499999999997
120,box,147.53,144.03,162.94,159.1,151.565,155.235
120,mario,112.19,179.11,126.55,194.9,187.005,119.37
120,box,243.99,80.04,255.97,95.02,87.53,249.98000000000002
120,box,211.57,144.02,256.0,159.03,151.525,233.785
120,goomba,228.03,192.68,243.03,208.25,200.465,235.53
121,box,145.51,144.04,161.02,159.15,151.595,153.265
121,mario,112.26,176.12,126.58,191.84,183.98000000000002,119.42
121,box,242.31,80.04,255.89,95.11,87.575,249.1
121,box,209.86,144.01,256.0,159.11,151.56,232.93
121,goomba,225.07,192.85,240.12,208.27,200.56,232.595
122,mario,112.27,173.1,126.66,188.85,180.975,119.465
122,box,144.4,144.09,159.98,159.07,151.57999999999998,152.19
122,box,241.39,80.09,256.0,95.07,87.58,248.695
122,goomba,224.17,192.66,239.09,208.63,200.64499999999998,231.63
122,box,209.16,144.08,256.0,159.04,151.56,232.57999999999998
